"200415","2018-02-19 08:26:11","2018-02-28","10:00","95","CHILD"
"200416","2018-02-19 08:26:11","2018-02-28","10:30","95","CHILD"
"200417","2018-02-19 08:26:11","2018-02-28","11:00","95","CHILD"
"200418","2018-02-19 08:26:11","2018-02-28","11:30","95","CHILD"
"200420","2018-02-19 08:26:11","2018-03-07","10:00","95","CHILD"
"200421","2018-02-19 08:26:11","2018-03-07","10:30","95","CHILD"
"200422","2018-02-19 08:26:11","2018-03-07","11:00","95","CHILD"
"200423","2018-02-19 08:26:11","2018-03-07","11:30","95","CHILD"
"200425","2018-02-19 08:26:11","2018-03-14","10:00","95","CHILD"
"200426","2018-02-19 08:26:11","2018-03-14","10:30","95","CHILD"
"200427","2018-02-19 08:26:11","2018-03-14","11:00","95","CHILD"
"200428","2018-02-19 08:26:11","2018-03-14","11:30","95","CHILD"
"200430","2018-02-19 08:26:11","2018-03-21","10:00","95","CHILD"
"200431","2018-02-19 08:26:11","2018-03-21","10:30","95","CHILD"
"200432","2018-02-19 08:26:12","2018-03-21","11:00","95","CHILD"
"200433","2018-02-19 08:26:12","2018-03-21","11:30","95","CHILD"
"200435","2018-02-19 08:26:12","2018-03-28","10:00","95","CHILD"
"200436","2018-02-19 08:26:12","2018-03-28","10:30","95","CHILD"
"200437","2018-02-19 08:26:12","2018-03-28","11:00","95","CHILD"
"200438","2018-02-19 08:26:12","2018-03-28","11:30","95","CHILD"
"200440","2018-02-19 08:26:12","2018-04-04","10:00","95","CHILD"
"200441","2018-02-19 08:26:12","2018-04-04","10:30","95","CHILD"
"200442","2018-02-19 08:26:12","2018-04-04","11:00","95","CHILD"
"200443","2018-02-19 08:26:12","2018-04-04","11:30","95","CHILD"
"200455","2018-02-19 08:26:12","2018-04-25","10:00","95","CHILD"
"200456","2018-02-19 08:26:12","2018-04-25","10:30","95","CHILD"
"200457","2018-02-19 08:26:12","2018-04-25","11:00","95","CHILD"
"200458","2018-02-19 08:26:12","2018-04-25","11:30","95","CHILD"
"200460","2018-02-19 08:26:12","2018-05-02","10:00","95","CHILD"
"200461","2018-02-19 08:26:12","2018-05-02","10:30","95","CHILD"
"200462","2018-02-19 08:26:12","2018-05-02","11:00","95","CHILD"
"200463","2018-02-19 08:26:12","2018-05-02","11:30","95","CHILD"
"200465","2018-02-19 08:26:12","2018-05-09","10:00","95","CHILD"
"200466","2018-02-19 08:26:12","2018-05-09","10:30","95","CHILD"
"200467","2018-02-19 08:26:12","2018-05-09","11:00","95","CHILD"
"200468","2018-02-19 08:26:12","2018-05-09","11:30","95","CHILD"
"200470","2018-02-19 08:26:12","2018-05-16","10:00","95","CHILD"
"200471","2018-02-19 08:26:12","2018-05-16","10:30","95","CHILD"
"200472","2018-02-19 08:26:12","2018-05-16","11:00","95","CHILD"
"200473","2018-02-19 08:26:12","2018-05-16","11:30","95","CHILD"
"200475","2018-02-19 08:26:12","2018-05-23","10:00","95","CHILD"
"200476","2018-02-19 08:26:12","2018-05-23","10:30","95","CHILD"
"200477","2018-02-19 08:26:12","2018-05-23","11:00","95","CHILD"
"200478","2018-02-19 08:26:12","2018-05-23","11:30","95","CHILD"
"200480","2018-02-19 08:26:12","2018-05-30","10:00","95","CHILD"
"200481","2018-02-19 08:26:12","2018-05-30","10:30","95","CHILD"
"200482","2018-02-19 08:26:12","2018-05-30","11:00","95","CHILD"
"200483","2018-02-19 08:26:12","2018-05-30","11:30","95","CHILD"
